"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Jankowski, Travis","608671","2023","287","208",0.263,0.254,0.009000000000000008,0.332,0.31,0.02200000000000002,0.312,0.302,0.010000000000000009
"Vargas, Ildemaro","545121","2023","286","246",0.252,0.265,-0.013000000000000012,0.363,0.368,-0.0050000000000000044,0.292,0.303,-0.01100000000000001
"Rivera, Emmanuel","656896","2023","283","205",0.261,0.263,-0.0020000000000000018,0.358,0.395,-0.03700000000000003,0.295,0.312,-0.017000000000000015
"Caballero, José","676609","2023","280","169",0.221,0.203,0.017999999999999988,0.32,0.3,0.020000000000000018,0.305,0.297,0.008000000000000007
"Cron, C.J.","543068","2023","278","195",0.248,0.257,-0.009000000000000008,0.434,0.471,-0.03699999999999998,0.312,0.332,-0.020000000000000018
"Schmitt, Casey","669477","2023","277","194",0.206,0.234,-0.028000000000000025,0.324,0.359,-0.034999999999999976,0.254,0.282,-0.02799999999999997
"Stallings, Jacob","607732","2023","276","179",0.191,0.193,-0.0020000000000000018,0.286,0.302,-0.016000000000000014,0.256,0.262,-0.006000000000000005
"Bauers, Jake","641343","2023","272","150",0.202,0.23,-0.027999999999999997,0.413,0.48,-0.067,0.297,0.336,-0.039000000000000035
"Garrett, Stone","656448","2023","271","157",0.269,0.263,0.006000000000000005,0.457,0.441,0.016000000000000014,0.344,0.345,-0.0010000000000000009
"Castro, Harold","605612","2023","270","195",0.252,0.242,0.010000000000000009,0.314,0.338,-0.02400000000000002,0.258,0.263,-0.0050000000000000044
"Sánchez, Gary","596142","2023","267","175",0.217,0.233,-0.016000000000000014,0.492,0.502,-0.010000000000000009,0.329,0.343,-0.014000000000000012
"O'Neill, Tyler","641933","2023","266","171",0.231,0.246,-0.014999999999999986,0.403,0.445,-0.04199999999999998,0.313,0.334,-0.02100000000000002
"Palacios, Joshua","641943","2023","264","194",0.239,0.259,-0.020000000000000018,0.413,0.438,-0.025000000000000022,0.297,0.318,-0.02100000000000002
"Mancini, Trey","641820","2023","263","160",0.234,0.213,0.02100000000000002,0.336,0.329,0.007000000000000006,0.28,0.272,0.008000000000000007
"Colás, Oscar","693049","2023","263","178",0.216,0.225,-0.009000000000000008,0.314,0.341,-0.027000000000000024,0.249,0.264,-0.015000000000000013
"Lopez, Nicky","670032","2023","262","190",0.231,0.234,-0.0030000000000000027,0.307,0.311,-0.0040000000000000036,0.288,0.292,-0.0040000000000000036
"Pasquantino, Vinnie","686469","2023","260","201",0.247,0.282,-0.034999999999999976,0.437,0.454,-0.017000000000000015,0.327,0.35,-0.022999999999999965
"Higashioka, Kyle","543309","2023","260","172",0.236,0.242,-0.006000000000000005,0.413,0.443,-0.030000000000000027,0.293,0.309,-0.016000000000000014
"Castro, Rodolfo","666801","2023","256","154",0.211,0.189,0.021999999999999992,0.322,0.323,-0.0010000000000000009,0.277,0.268,0.009000000000000008
"Fairchild, Stuart","656413","2023","255","155",0.228,0.231,-0.0030000000000000027,0.388,0.385,0.0030000000000000027,0.312,0.314,-0.0020000000000000018
"Carlson, Dylan","666185","2023","255","173",0.219,0.237,-0.017999999999999988,0.333,0.381,-0.04799999999999999,0.293,0.318,-0.025000000000000022
"Davis, Henry","680779","2023","255","157",0.213,0.223,-0.010000000000000009,0.351,0.344,0.007000000000000006,0.287,0.291,-0.0040000000000000036
"Wallner, Matt","670242","2023","254","133",0.249,0.233,0.015999999999999986,0.507,0.517,-0.010000000000000009,0.377,0.374,0.0030000000000000027
"Espinal, Santiago","669289","2023","254","197",0.248,0.256,-0.008000000000000007,0.335,0.336,-0.0010000000000000009,0.285,0.293,-0.008000000000000007
"Newman, Kevin","621028","2023","253","198",0.253,0.272,-0.019000000000000017,0.364,0.374,-0.010000000000000009,0.296,0.311,-0.015000000000000013
"Short, Zack","670097","2023","253","159",0.204,0.21,-0.006000000000000005,0.339,0.364,-0.024999999999999967,0.281,0.297,-0.01599999999999996
"Matos, Luis","682641","2023","253","197",0.25,0.258,-0.008000000000000007,0.342,0.359,-0.01699999999999996,0.295,0.304,-0.009000000000000008
"Hampson, Garrett","641658","2023","252","159",0.276,0.239,0.03700000000000003,0.38,0.329,0.05099999999999999,0.323,0.291,0.03200000000000003
"Ford, Mike","645801","2023","251","139",0.228,0.202,0.025999999999999995,0.475,0.416,0.059,0.343,0.314,0.029000000000000026
"Wong, Kolten","543939","2023","250","174",0.183,0.213,-0.03,0.263,0.29,-0.02699999999999997,0.236,0.262,-0.026000000000000023
"Refsnyder, Rob","608701","2023","243","157",0.248,0.261,-0.013000000000000012,0.317,0.384,-0.067,0.314,0.342,-0.028000000000000025
"Taylor, Tyrone","621438","2023","243","177",0.234,0.246,-0.011999999999999983,0.446,0.426,0.020000000000000018,0.302,0.304,-0.0020000000000000018
"Votto, Joey","458015","2023","242","146",0.202,0.189,0.013000000000000012,0.433,0.367,0.066,0.326,0.298,0.028000000000000025
"Knizner, Andrew","668800","2023","241","164",0.241,0.221,0.01999999999999999,0.424,0.391,0.032999999999999974,0.306,0.286,0.020000000000000018
"Encarnacion-Strand, Christian","687952","2023","241","153",0.27,0.27,0,0.477,0.476,0.0010000000000000009,0.346,0.346,0
"Lewis, Royce","668904","2023","239","162",0.309,0.262,0.046999999999999986,0.548,0.478,0.07000000000000006,0.393,0.348,0.04500000000000004
"Longoria, Evan","446334","2023","237","141",0.223,0.23,-0.007000000000000006,0.422,0.449,-0.027000000000000024,0.308,0.324,-0.016000000000000014
"Carpenter, Matt","572761","2023","237","126",0.176,0.173,0.0030000000000000027,0.319,0.334,-0.015000000000000013,0.293,0.309,-0.016000000000000014
"Fermin, Freddy","666023","2023","235","171",0.281,0.277,0.0040000000000000036,0.461,0.457,0.0040000000000000036,0.333,0.333,0
"Vientos, Mark","668901","2023","233","149",0.211,0.236,-0.024999999999999994,0.367,0.422,-0.05499999999999999,0.267,0.304,-0.03699999999999998
"Smith, Josh","669701","2023","232","143",0.185,0.211,-0.025999999999999995,0.328,0.39,-0.062,0.287,0.321,-0.03400000000000003
"Naylor, Bo","666310","2023","230","146",0.237,0.217,0.01999999999999999,0.47,0.379,0.09099999999999997,0.347,0.309,0.03799999999999998
"Haniger, Mitch","571745","2023","229","147",0.209,0.242,-0.033,0.365,0.433,-0.068,0.274,0.313,-0.03899999999999998
"Westburg, Jordan","676059","2023","228","155",0.26,0.26,0,0.404,0.4,0.0040000000000000036,0.309,0.315,-0.006000000000000005
"Urshela, Gio","570482","2023","228","181",0.299,0.259,0.03999999999999998,0.374,0.361,0.013000000000000012,0.307,0.289,0.018000000000000016
"Smith, Pavin","656976","2023","228","146",0.188,0.225,-0.037000000000000005,0.325,0.388,-0.063,0.293,0.328,-0.03500000000000003
"Trejo, Alan","676701","2023","227","159",0.232,0.233,-0.0010000000000000009,0.343,0.334,0.009000000000000008,0.277,0.276,0.0010000000000000009
"Caratini, Victor","605170","2023","226","159",0.259,0.258,0.0010000000000000009,0.383,0.377,0.006000000000000005,0.312,0.31,0.0020000000000000018
"McCann, James","543510","2023","226","155",0.222,0.262,-0.04000000000000001,0.377,0.431,-0.05399999999999999,0.279,0.319,-0.03999999999999998
"Frelick, Sal","686217","2023","223","157",0.246,0.235,0.01100000000000001,0.351,0.304,0.046999999999999986,0.309,0.296,0.013000000000000012
"Marcano, Tucupita","672779","2023","220","172",0.233,0.248,-0.014999999999999986,0.356,0.371,-0.015000000000000013,0.275,0.292,-0.01699999999999996
