"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
673357,"Robert Jr., Luis",441,0.901840490797546,310,"75.851891837",0.6258503401360543,0.24516129032258063,0.17233560090702948,0.15161290322580645,0.10657596371882086,"7.950615873",12,2.514031027263468,131,0.29705215419501135,136,0.30839002267573695
671213,"Casas, Triston",329,0.8989071038251366,239,"75.828404407",0.613981762917933,0.28451882845188287,0.2066869300911854,0.18828451882845187,0.13677811550151975,"7.841253486",6,4.967529449310782,90,0.2735562310030395,124,0.3768996960486322
683146,"Baty, Brett",248,0.9018181818181819,169,"75.803635282",0.5806451612903226,0.2603550295857988,0.1774193548387097,0.16568047337278108,0.11290322580645161,"7.660875806",6,-11.976816248689742,79,0.3185483870967742,91,0.36693548387096775
624585,"Soler, Jorge",322,0.9019607843137255,242,"75.775713323",0.6180124223602484,0.30578512396694213,0.22981366459627328,0.19834710743801653,0.14906832298136646,"7.789222563",1,-0.643029858911712,80,0.2484472049689441,121,0.37577639751552794
666624,"Morel, Christopher",411,0.9092920353982301,270,"75.734129635",0.5620437956204379,0.3037037037037037,0.19951338199513383,0.1925925925925926,0.12652068126520682,"7.958357616",15,-7.534870829657981,141,0.34306569343065696,129,0.31386861313868614
624413,"Alonso, Pete",473,0.9061302681992337,355,"75.696050211",0.5602536997885834,0.2535211267605634,0.19027484143763213,0.16619718309859155,0.12473572938689217,"7.398825117",7,-3.7903147578691434,118,0.24947145877378435,171,0.36152219873150104
670042,"Raley, Luke",283,0.8984126984126984,179,"75.695205689",0.6042402826855123,0.24022346368715083,0.1519434628975265,0.1564245810055866,0.0989399293286219,"7.447972438",9,-10.979841711010135,104,0.3674911660777385,86,0.303886925795053
696100,"Goodman, Hunter",122,0.8970588235294118,78,"75.666273361",0.5573770491803279,0.28205128205128205,0.18032786885245902,0.21794871794871795,0.13934426229508196,"7.148853689",3,-4.99868582795903,44,0.36065573770491804,43,0.3524590163934426
682985,"Greene, Riley",305,0.9050445103857567,213,"75.521846557",0.5311475409836063,0.3192488262910798,0.22295081967213115,0.20657276995305165,0.14426229508196722,"7.179070264",0,-3.288222528039277,92,0.3016393442622951,109,0.35737704918032787
656305,"Chapman, Matt",335,0.9005376344086021,233,"75.514195045",0.5671641791044777,0.3133047210300429,0.21791044776119403,0.16738197424892703,0.11641791044776119,"7.583156886",1,-6.201861565639808,102,0.3044776119402985,113,0.3373134328358209
693049,"Colás, Oscar",278,0.9144736842105263,181,"75.465699604",0.5719424460431654,0.32044198895027626,0.20863309352517986,0.1712707182320442,0.11151079136690648,"7.724788587",7,-13.258113551492283,97,0.3489208633093525,97,0.3489208633093525
547180,"Harper, Bryce",467,0.8998073217726397,325,"75.463332291",0.5503211991434689,0.3415384615384615,0.23768736616702354,0.24923076923076923,0.1734475374732334,"7.375997084",6,12.057439833265544,142,0.30406852248394006,169,0.3618843683083512
665489,"Guerrero Jr., Vladimir",451,0.9038076152304609,354,"75.461952838",0.5232815964523282,0.3050847457627119,0.2394678492239468,0.1864406779661017,0.14634146341463414,"7.574440557",3,-5.093140551162508,97,0.21507760532150777,195,0.43237250554323725
683002,"Henderson, Gunnar",528,0.9025641025641026,421,"75.405001875",0.5738636363636365,0.32304038004750596,0.25757575757575757,0.20190023752969122,0.16098484848484848,"7.243532865",4,-3.1473010031801216,107,0.20265151515151514,217,0.4109848484848485
691176,"Domínguez, Jasson",52,0.896551724137931,33,"75.300207692",0.5576923076923077,0.45454545454545453,0.28846153846153844,0.18181818181818182,0.11538461538461539,"7.773650962",0,1.202958211190325,19,0.36538461538461536,20,0.38461538461538464
668904,"Lewis, Royce",210,0.9051724137931034,165,"75.292221905",0.5380952380952382,0.3333333333333333,0.2619047619047619,0.20606060606060606,0.1619047619047619,"7.82585119",3,5.067709565718928,45,0.21428571428571427,83,0.3952380952380952
660707,"Montero, Elehuris",350,0.9020618556701031,222,"75.286996971",0.5057142857142858,0.27927927927927926,0.17714285714285713,0.16216216216216217,0.10285714285714286,"7.657539284",3,2.543980972040762,128,0.3657142857142857,106,0.3028571428571429
656180,"Adams, Riley",118,0.9147286821705426,89,"75.236097966",0.5423728813559322,0.29213483146067415,0.22033898305084745,0.21348314606741572,0.16101694915254236,"8.138414153",2,1.8712419337631305,29,0.2457627118644068,47,0.3983050847457627
650391,"Jiménez, Eloy",366,0.9104477611940298,278,"75.234561831",0.5191256830601092,0.3597122302158273,0.273224043715847,0.2014388489208633,0.15300546448087432,"7.343724356",6,-7.339990449949357,88,0.24043715846994534,174,0.47540983606557374
669911,"Toglia, Michael",217,0.9194915254237288,138,"75.211448571",0.5253456221198157,0.32608695652173914,0.2073732718894009,0.1956521739130435,0.12442396313364056,"7.603063256",1,-10.202101972380737,79,0.3640552995391705,72,0.3317972350230415
663550,"Cabbage, Trey",116,0.8992248062015504,56,"75.200544138",0.5344827586206896,0.14285714285714285,0.06896551724137931,0.10714285714285714,0.05172413793103448,"7.818276466",6,-4.538534057660037,60,0.5172413793103449,26,0.22413793103448276
677951,"Witt Jr., Bobby",525,0.9083044982698962,432,"75.136058248",0.539047619047619,0.3287037037037037,0.2704761904761905,0.1875,0.15428571428571428,"7.044116539",7,2.2291304279318283,93,0.17714285714285713,223,0.4247619047619048
641343,"Bauers, Jake",212,0.9098712446351931,144,"75.095624623",0.5801886792452831,0.2361111111111111,0.16037735849056603,0.1388888888888889,0.09433962264150944,"7.812485472",5,-7.554333146368563,68,0.32075471698113206,56,0.2641509433962264
679529,"Torkelson, Spencer",527,0.9039451114922813,406,"75.037006262",0.5028462998102465,0.29802955665024633,0.22960151802656548,0.17733990147783252,0.1366223908918406,"7.620077913",10,-2.2941081137160633,121,0.22960151802656548,184,0.349146110056926
671218,"Ramos, Heliot",60,0.8955223880597015,38,"75.021215667",0.5,0.2631578947368421,0.16666666666666666,0.13157894736842105,0.08333333333333333,"7.230143448",2,-2.8510045750269284,22,0.36666666666666664,17,0.2833333333333333
542303,"Ozuna, Marcell",469,0.9036608863198459,361,"75.007839041",0.5309168443496801,0.3518005540166205,0.27078891257995735,0.2077562326869806,0.15991471215351813,"7.471584111",7,19.18299563560792,108,0.2302771855010661,181,0.3859275053304904
663728,"Raleigh, Cal",501,0.8994614003590664,359,"74.997748962",0.5009980039920159,0.27019498607242337,0.1936127744510978,0.13370473537604458,0.09580838323353294,"7.825433427",6,1.2315179553302902,142,0.2834331337325349,158,0.3153692614770459
572233,"Walker, Christian",489,0.9072356215213359,357,"74.956259632",0.49693251533742333,0.2661064425770308,0.19427402862985685,0.15126050420168066,0.11042944785276074,"7.447339053",17,-9.516301707685018,132,0.26993865030674846,180,0.36809815950920244
691023,"Walker, Jordan",421,0.8995726495726496,308,"74.877321425",0.5391923990498813,0.2792207792207792,0.2042755344418052,0.16233766233766234,0.1187648456057007,"7.825969494",7,-1.4200403611914418,113,0.2684085510688836,159,0.37767220902612825
672356,"Arias, Gabriel",368,0.9064039408866995,231,"74.869622174",0.47282608695652184,0.30303030303030304,0.19021739130434784,0.19047619047619047,0.11956521739130435,"7.495254864",10,-10.308180497030659,137,0.37228260869565216,110,0.29891304347826086
621566,"Olson, Matt",517,0.9054290718038529,397,"74.842343578",0.4970986460348162,0.29974811083123426,0.23017408123791103,0.1712846347607053,0.13152804642166344,"7.294126211",7,5.213537964867671,120,0.23210831721470018,180,0.3481624758220503
