id,Name,est_woba,xwOBA_pred,Swing+
660821,Jesús Sánchez,0.333,0.3280389601486291,107.50233330901429
663586,Austin Riley,0.337,0.3279538740747688,107.48265123661955
642133,Rowdy Tellez,0.338,0.3278046610173792,107.44813533919307
666969,Adolis García,0.315,0.32739285688294817,107.35287699175026
681481,Kerry Carpenter,0.347,0.3270680700863709,107.2777474558219
668227,Randy Arozarena,0.336,0.32693784456479513,107.2476237466529
543510,James McCann,0.324,0.32630477698677474,107.10118283880443
696030,Alejandro Osuna,0.342,0.3262847704336274,107.09655493191497
592663,J.T. Realmuto,0.323,0.32621653917707605,107.08077170829094
656484,Tristan Gray,0.361,0.3260624020945789,107.04511678758786
676059,Jordan Westburg,0.333,0.32578278285777884,106.98043539130322
805904,Zach Cole,0.313,0.32551629581301433,106.9187917277828
677800,Wilyer Abreu,0.346,0.32548946375682253,106.91258494859431
672569,Gustavo Campero,0.33,0.32508589104193714,106.81923068942423
667690,C.J. Stubbs,0.09,0.32504003401884396,106.80862306343587
673237,Yainer Diaz,0.34,0.32482770465848504,106.75950713115093
592626,Joc Pederson,0.321,0.324694730205483,106.72874754039891
664034,Ty France,0.337,0.32454247753055804,106.6935285200092
571912,Luke Maile,0.351,0.3244797665974551,106.67902225512616
642708,Amed Rosario,0.342,0.324409629813777,106.66279824582291
661388,William Contreras,0.34,0.3242837255750338,106.63367413385815
682998,Corbin Carroll,0.383,0.3241900244183324,106.61199922436947
669221,Sean Murphy,0.321,0.3241661276158944,106.60647142676115
681715,Heriberto Hernández,0.34,0.32410913463422325,106.59328783583548
683734,Andrew Vaughn,0.356,0.3240466683792304,106.578838169783
673962,Josh Jung,0.311,0.3236847280041551,106.49511428476146
678662,Ezequiel Tovar,0.329,0.3234264989681092,106.43538086010932
592885,Christian Yelich,0.341,0.32341979547902244,106.43383021202418
701305,Zach Dezenzo,0.329,0.32306405028483254,106.3515393934629
666464,Jerar Encarnacion,0.305,0.32306264437516546,106.35121417907008
669236,Jeremiah Jackson,0.298,0.3228230952949559,106.29580179341316
571771,Enrique Hernández,0.291,0.32270573697638366,106.26865451986453
